"","face_name_align","race","race4","gender","age","race_scores_fair","race_scores_fair_4","gender_scores_fair","age_scores_fair"
"1742","1138856","White","White","Male","20-29","[9.9984753e-01 1.1705198e-05 3.0031428e-05 2.2487400e-06 5.7075845e-06
 7.3804210e-07 1.0203417e-04]","[9.9881488e-01 6.0694583e-04 5.0170260e-04 7.6415403e-05]","[9.999991e-01 8.858866e-07]","[2.4465393e-07 1.2645334e-05 8.3145471e-03 6.2636203e-01 2.8162256e-01
 7.1335092e-02 1.1817152e-02 5.1704142e-04 1.8673692e-05]"
"1743","74061","Middle Eastern","White","Male","40-49","[4.1451868e-02 1.7966812e-02 3.5599282e-01 2.6348453e-05 1.4199110e-04
 2.0293843e-02 5.6412631e-01]","[0.3713878  0.36153865 0.00127786 0.26579562]","[9.9999183e-01 8.1506878e-06]","[2.4648391e-05 3.4812183e-05 1.0980350e-03 6.9882698e-02 4.1150588e-01
 4.2646849e-01 8.6583138e-02 4.3209116e-03 8.1438768e-05]"
"1744","796081","Black","Black","Male","30-39","[6.7263068e-06 9.9976599e-01 1.5302456e-05 6.3351893e-09 1.3221140e-07
 2.0363631e-04 8.2435308e-06]","[1.5228756e-05 9.9993014e-01 8.0647698e-07 5.3830961e-05]","[9.9999970e-01 3.6755696e-07]","[4.5009685e-08 3.5636592e-07 3.8188391e-05 3.5369802e-02 5.0176823e-01
 4.2912841e-01 3.2746110e-02 9.2376157e-04 2.5110758e-05]"
"1745","96552","White","White","Male","30-39","[9.7313780e-01 5.0949562e-05 5.3207842e-03 9.4482011e-06 3.6289264e-05
 9.5766620e-05 2.1348931e-02]","[9.9745488e-01 4.9376814e-04 8.1960531e-04 1.2317497e-03]","[9.999936e-01 6.330773e-06]","[8.5467782e-08 3.3799456e-06 8.1986847e-04 4.6779105e-01 5.1730496e-01
 1.4027614e-02 5.2668183e-05 3.2880999e-07 8.4012388e-09]"
"1746","825681","Middle Eastern","Indian","Male","30-39","[5.7640847e-02 1.1826140e-03 1.4350137e-01 5.6221750e-05 1.8750675e-04
 1.4473112e-02 7.8295827e-01]","[0.46400595 0.00623709 0.00819791 0.52155906]","[9.9999672e-01 3.2319851e-06]","[5.31600062e-06 1.06936146e-04 2.66934047e-03 2.32845783e-01
 6.45132363e-01 1.17280088e-01 1.93303393e-03 2.68162203e-05
 3.05954671e-07]"
"1747","788921","Middle Eastern","Asian","Male","30-39","[0.12290251 0.0276133  0.34644565 0.00550146 0.02602797 0.01838502
 0.4531241 ]","[0.2516512  0.08965769 0.45798194 0.20070918]","[1.000000e+00 5.929924e-09]","[1.8578788e-06 1.0363572e-05 1.0423393e-03 1.4000559e-01 4.9176449e-01
 3.1868678e-01 4.5977764e-02 2.4809737e-03 2.9912044e-05]"
"1748","876600","Indian","Indian","Male","30-39","[1.9654545e-03 2.8488146e-02 1.0383007e-01 4.1347430e-05 8.4684562e-04
 8.4896123e-01 1.5866874e-02]","[0.00605771 0.05441103 0.00281336 0.93671787]","[9.9999672e-01 3.2770195e-06]","[1.5921039e-06 4.1128922e-05 9.2157692e-04 2.8547567e-01 6.7734319e-01
 3.6017075e-02 1.9837463e-04 1.4376850e-06 1.7170873e-08]"
"1749","157701","White","White","Male","20-29","[9.8864216e-01 1.5387042e-05 7.7158245e-03 1.3157722e-05 4.0925795e-05
 3.4783658e-04 3.2247461e-03]","[9.976051e-01 3.609527e-04 2.296801e-04 1.804320e-03]","[9.9999994e-01 8.3308478e-08]","[1.6401741e-07 7.3628948e-06 1.8085258e-03 5.1346552e-01 4.4898242e-01
 3.5500336e-02 2.3328913e-04 2.3234170e-06 2.6954087e-08]"
"1750","10190","Middle Eastern","White","Male","20-29","[2.2345003e-02 1.8591410e-05 7.9982064e-04 3.8114302e-07 1.4904176e-06
 7.2682415e-05 9.7676206e-01]","[9.9671793e-01 1.0731166e-03 1.9644911e-05 2.1893186e-03]","[9.9999046e-01 9.5487685e-06]","[4.7284530e-06 5.7875062e-04 1.8205881e-02 6.4418018e-01 3.2819885e-01
 8.8153714e-03 1.5998796e-05 1.8471799e-07 3.2341905e-09]"
"1751","74318","Black","Black","Male","20-29","[1.2400161e-05 9.9907088e-01 2.5837950e-04 2.6840431e-07 1.4480945e-05
 5.5461650e-04 8.8866836e-05]","[1.1921930e-05 9.9965602e-01 8.8835386e-06 3.2329082e-04]","[9.9999881e-01 1.1769034e-06]","[1.9879641e-07 1.1539403e-04 2.6131608e-02 7.1080381e-01 2.5335070e-01
 9.4997911e-03 9.7406672e-05 1.1799890e-06 3.9700890e-08]"
